"id","siafi_code"
br_base.city_2903904,3377
br_base.city_2903953,3263
br_base.city_2904001,3379
br_base.city_2904050,3265
br_base.city_2904100,3381
br_base.city_2904209,3383
br_base.city_2904308,3385
br_base.city_2904407,3387
br_base.city_2904506,3389
br_base.city_2904605,3391
br_base.city_2904704,3393
br_base.city_2904753,3079
br_base.city_2904803,3395
br_base.city_2904852,3267
br_base.city_2904902,3397
br_base.city_2905008,3399
br_base.city_2905107,3401
br_base.city_2905156,3269
br_base.city_2905206,3403
br_base.city_2905305,3405
br_base.city_2905404,3407
br_base.city_2905503,3409
br_base.city_2905602,3411
br_base.city_2905701,3413
br_base.city_2905800,3415
br_base.city_2905909,3417
br_base.city_2906006,3419
br_base.city_2906105,3421
br_base.city_2906204,3423
br_base.city_2906303,3425
br_base.city_2906402,3427
br_base.city_2906501,3429
br_base.city_2906600,3431
br_base.city_2906709,3433
br_base.city_2906808,3435
br_base.city_2906824,3085
br_base.city_2906857,3081
br_base.city_2906873,3083
br_base.city_2906899,3271
br_base.city_2906907,3437
br_base.city_2907004,3439
br_base.city_2907103,3441
br_base.city_2907202,3443
br_base.city_2907301,3445
br_base.city_2907400,3447
br_base.city_2907509,3449
br_base.city_2907558,3273
br_base.city_2907608,3451
br_base.city_2907707,3453
br_base.city_2907806,3455
br_base.city_2907905,3457
br_base.city_2908002,3459
br_base.city_2908101,3461
br_base.city_2908200,3463
br_base.city_2908309,3465
br_base.city_2908408,3467
br_base.city_2908507,3469
br_base.city_2908606,3471
br_base.city_2908705,3473
br_base.city_2908804,3475
br_base.city_2908903,3477
br_base.city_2909000,3479
br_base.city_2909109,3481
br_base.city_2909208,3483
br_base.city_2909307,3485
br_base.city_2909406,3487
br_base.city_2909505,3489
br_base.city_2909604,3491
br_base.city_2909703,3493
br_base.city_2909802,3495
br_base.city_2909901,3497
br_base.city_2910008,3499
br_base.city_2910057,3087
br_base.city_2910107,3501
br_base.city_2910206,3503
br_base.city_2910305,3505
br_base.city_2910404,3507
br_base.city_2910503,3509
br_base.city_2900504,3309
br_base.city_2910602,3511
br_base.city_2910701,3513
br_base.city_2910727,3117
br_base.city_2910750,3089
br_base.city_2910776,3275
br_base.city_2910800,3515
br_base.city_2910859,3091
br_base.city_2910909,3517
br_base.city_2911006,3519
br_base.city_2911105,3521
br_base.city_2911204,3523
br_base.city_2911253,3093
br_base.city_2911303,3525
br_base.city_2911402,3527
br_base.city_2911501,3529
br_base.city_2911600,3531
br_base.city_2911659,3095
br_base.city_2911709,3533
br_base.city_2911808,3535
br_base.city_2911857,3097
br_base.city_2911907,3537
br_base.city_2912004,3539
br_base.city_2912103,3541
br_base.city_2912202,3543
br_base.city_2912301,3545
br_base.city_2912400,3547
br_base.city_2912509,3551
br_base.city_2912608,3553
br_base.city_2912707,3555
br_base.city_2912806,3557
br_base.city_2912905,3559
br_base.city_2913002,3561
br_base.city_2913101,3563
br_base.city_2913200,3565
br_base.city_2913309,3567
br_base.city_2913408,3569
br_base.city_2913457,3277
br_base.city_2913507,3571
br_base.city_2913606,3573
br_base.city_2913705,3575
br_base.city_2913804,3577
br_base.city_2913903,3579
br_base.city_2914000,3581
br_base.city_2914109,3583
br_base.city_2914208,3585
br_base.city_2914307,3587
br_base.city_2914406,3589
br_base.city_2914505,3591
br_base.city_2914604,3593
br_base.city_2914653,3279
br_base.city_2914703,3595
br_base.city_2914802,3597
br_base.city_2914901,3599
br_base.city_2915007,3601
br_base.city_2915106,3603
br_base.city_2915205,3605
br_base.city_2915304,3607
br_base.city_2915353,3281
br_base.city_2915403,3609
br_base.city_2915502,3611
br_base.city_2915601,3613
